dClose dFar
76.152924 115.496929
72.716922 131.900589
96.745877 127.858825
67.756761 96.177648
66.380289 105.429968
111.227181 147.587910
63.230236 105.719551
73.474046 124.168709
52.685677 114.908853
87.754613 99.174061
116.735936 133.857248
78.598707 109.841544
58.357232 136.351908
97.137314 133.751553
59.766425 110.763513
55.799843 124.313891
101.975232 130.081935
94.200830 128.811993
79.588031 136.930465
75.354406 108.640110
67.583480 125.049533
67.116177 129.866886
68.412928 110.810114
63.881916 107.988781
50.184020 117.816610
115.092457 140.972307
56.312976 147.688024
50.491744 109.839559
67.464082 92.436626
58.111428 103.707728
48.096882 140.189443
47.546889 100.467844
64.054331 114.732949
78.981492 143.258745
78.048555 117.402447
63.638097 101.313442
68.554726 96.511429
73.456304 126.670913
58.484751 110.744523
60.980053 115.659113
64.118016 109.381649
50.893466 117.428787
89.075902 123.410802
58.764418 125.220167
56.749079 107.631359
56.808453 112.250935
44.171021 101.982096
46.563390 115.635143
89.627018 113.679854
60.083047 121.262593
63.282465 126.609021
57.530093 124.988923
62.568918 130.795186
91.383286 126.670167
46.233738 112.875874
65.572381 145.893025
62.587351 130.558949
59.558795 121.914282
54.138626 141.237626
62.667222 106.891630
106.851278 135.889093
64.298914 126.227666
73.612119 120.748215
56.759549 113.367310
65.038851 88.901684
103.111168 121.539666
60.555014 108.159804
63.695594 126.370295
55.827909 114.574652
67.298469 114.377827
61.716457 121.589749
59.922917 118.467445
69.197486 125.607211
68.561383 136.438054
55.068010 151.544826
52.865794 147.357263
53.353433 103.217148
72.786520 104.952938
83.423233 96.766724
78.557238 97.268353
51.374788 117.215922
106.827136 134.448796
55.859737 127.872155
66.405352 107.894942
52.487235 115.620100
85.789900 108.013881
81.353910 126.408152
65.967061 136.112491
65.515515 137.350627
77.754963 103.882864
100.481218 125.878538
56.689705 128.450425
76.723758 125.092651
54.417778 96.897046
63.842737 121.906315
41.336063 99.626224
60.018253 124.690558
57.254056 97.098412
57.251952 130.317440
57.666579 132.276317
58.976365 121.702265
43.399582 146.082844
65.101893 152.154124
54.619113 107.053144
95.915366 146.620273
56.068931 113.825132
93.771822 156.628078
50.718087 148.961075
73.757701 107.174630
101.279180 166.413854
37.040132 113.526014
58.233029 126.550172
68.396405 123.573506
53.887500 108.002196
55.681398 121.892471
75.747907 123.311216
81.082405 116.443510
51.285887 111.748032
78.666560 125.211754
56.445299 89.900937
73.224999 137.915871
57.882445 103.709517
89.989968 128.431715
66.384639 106.841193
76.250748 127.696271
57.180597 117.000435
49.251166 98.952960
69.626407 125.814444
93.843067 159.884624
57.047451 123.948785
63.321326 118.062865
64.033321 94.969231
61.411295 115.934257
63.075752 140.241492
48.667441 140.473946
62.630683 118.887419
101.162212 103.130951
66.913948 127.598003
76.690587 118.934028
58.001136 115.072031
85.789253 122.928686
47.754321 121.971352
47.615619 95.088624
71.375552 100.125657
65.151105 134.278982
54.025989 93.641410
47.094792 119.960083
55.376141 118.875470
65.686292 135.707007
124.600902 142.412696
55.195010 132.903840
79.410766 153.393322
66.795813 144.374590
67.389766 123.908774
92.071878 105.820320
69.620207 98.925777
103.079409 143.187720
45.544044 105.232946
64.500711 114.757209
76.020358 127.971151
94.806426 136.114962
56.535286 118.194465
60.672345 144.504876
112.396024 138.849077
99.738850 135.843869
60.226320 105.157029
93.318368 112.431630
69.113933 125.395102
93.591047 98.778715
104.467790 137.762516
60.254518 125.303567
69.764088 114.950341
63.509621 144.342614
66.398955 115.299204
67.130188 117.856345
81.167360 113.864694
67.789066 83.331438
53.174040 102.493751
57.953966 112.244178
51.891937 123.417117
99.615933 149.554710
119.075124 126.139356
62.262299 119.571976
73.860864 113.570876
67.777271 111.510636
55.864983 122.453629
72.188923 126.011706
61.602022 111.227897
88.746290 133.314458
64.270012 114.731531
52.946670 116.673015
60.935829 118.949133
68.697402 119.511751
57.889037 126.706128
60.489804 128.538966
73.775346 118.540971
65.258097 117.846421
69.711660 137.705616
61.788176 113.839965
77.884532 109.909144
81.108849 110.048409
58.037712 113.375068
49.188983 123.846054
119.710805 140.000730
71.301695 94.027757
68.366974 121.063792
72.177536 104.339155
80.380204 135.690336
62.654221 96.673570
66.188036 121.593442
63.472708 121.365383
43.938330 93.986004
63.816097 84.821014
54.128304 100.619004
56.379263 90.356586
63.365075 133.963592
48.549494 109.115042
67.829398 119.995747
58.830094 128.704950
62.582796 122.117323
