PC1(0.62) PC2(0.31) 
-0.354058 1.151603 
-0.609553 0.428742 
-0.669759 -0.259562 
0.678978 1.442451 
-0.706008 0.360529 
0.224153 0.658748 
-0.595788 0.628751 
-0.799189 0.123007 
-0.173149 0.431882 
-0.136830 0.731144 
-0.448549 -0.155674 
0.150637 0.044720 
-0.835098 0.604714 
-0.382352 0.984969 
-0.681665 -0.228401 
-0.342555 -0.196037 
0.230547 -0.189070 
-0.781698 0.643184 
-0.829933 0.082025 
-0.718643 0.180704 
-0.391143 0.113288 
-0.570356 0.228807 
-0.548413 -0.092087 
-0.592009 -0.103481 
-0.741200 0.702036 
-0.200412 1.859073 
-1.076629 0.797097 
-1.662537 0.624448 
-0.774444 0.547391 
-1.860996 0.120788 
-0.310754 -0.407610 
-0.564615 0.077030 
-0.370691 -0.332482 
-0.671204 0.276512 
-0.316473 -0.333062 
-1.233370 1.234541 
-1.175437 0.824168 
-0.800082 0.622188 
-0.397408 0.478146 
-0.389790 0.250770 
-0.465699 0.174254 
-0.601534 0.458572 
-0.598019 0.021133 
-0.497261 -0.151970 
-0.548253 0.081673 
-0.765304 0.821217 
-0.641226 0.865096 
-0.161505 0.067181 
-0.811200 1.437635 
-0.571168 0.445510 
-0.045285 0.245037 
-0.333532 0.434295 
-0.412679 0.581914 
-0.595101 0.336953 
-0.220669 0.049493 
0.147530 0.284569 
0.236643 -2.122644 
0.331141 -2.187340 
1.094628 -1.543327 
0.221120 -1.867855 
2.063553 -1.227090 
0.079229 -2.281095 
0.613696 -2.102446 
0.333130 -2.409815 
-0.247955 -2.085523 
0.604977 -1.878503 
0.012369 -2.309763 
0.053140 -2.223007 
0.226875 -2.314221 
-0.162517 -2.166894 
0.318081 -2.248866 
0.049218 -2.195984 
0.497706 -2.114118 
0.118715 -2.405766 
0.030072 -2.179117 
0.049046 -1.948376 
0.353522 -1.923290 
0.064219 -1.953640 
-0.159942 -2.285774 
0.275425 -1.923293 
0.239958 -1.857521 
0.534185 -2.218257 
0.124720 -2.287991 
0.034454 -2.325538 
0.010760 -2.048069 
0.348885 -2.156634 
0.458067 -1.902657 
